NAME,POS,RTG,TEAM,DEP,BYE,GP,FPPG,SNAP,TOUCH,#,%
"T.J. Hockenson","TE","89","MIN","1",6,13,15.1,3.6,0.4,54.4,81.1
"Amari Cooper","WR","91","CLE","1",10,15,15.1,3.9,0.3,58.9,78.3
"David Montgomery","RB","83","DET","1",5,14,14.8,2.2,1.1,32.4,47.8
"Travis Kelce","TE","98","KC","1",6,15,14.6,3.5,0.4,51.7,77
"Chris Olave","WR","87","NO","1",12,16,14.5,3.5,0.4,50.9,74.3
"Bijan Robinson","RB","81","ATL","1",12,17,14.5,3.1,1.1,45.4,68.2
"Derrick Henry","RB","93","TEN","1",14,17,14.5,2.3,1.2,32.8,53.1
"Derek Carr","QB","74","NO","1",12,17,14.4,4,0.1,57.5,84.5
"Jaylen Waddle","WR","88","MIA","1",6,14,14.2,3.1,0.4,43.6,67.6
"DeVonta Smith","WR","89","PHI","1",5,16,14.2,4.6,0.4,65.2,96.4
"DK Metcalf","WR","87","SEA","1",10,16,14.1,3.7,0.3,51.9,83.9
"Sam LaPorta","TE","83","DET","1",5,17,14.1,4.1,0.4,57.7,83.3
"Jeff Driskel","QB","67","CLE","2",14,1,13.9,3.8,0.5,53,100
"Josh Jacobs","RB","91","LV","1",10,13,13.9,3.3,1.5,46.2,76.3
"Cooper Kupp","WR","89","LAR","1",6,12,13.7,4.3,0.4,59.2,90.7
"Jakobi Meyers","WR","81","LV","1",10,16,13.7,4.1,0.3,56.4,89.8
"James Cook","RB","82","BUF","1",12,17,13.7,2.7,1.2,37.3,54.5
"Jayden Reed","WR","77","GB","1",10,16,13.6,2.7,0.3,36.1,56.1
"Adam Thielen","WR","83","CAR","1",11,17,13.6,4.5,0.5,61.5,90.9
"Easton Stick","QB","67","LAC","1",5,5,13.5,4.7,0.4,64,91.2
"Mark Andrews","TE","95","BAL","1",14,10,13.5,3.4,0.3,46.7,70
"Calvin Ridley","WR","85","JAX","1",5,17,13.5,4.3,0.4,58.4,85.2
"Evan Engram","TE","89","JAX","1",12,17,13.5,4,0.5,53.9,78.6
"Nick Mullens","QB","67","MIN","2",6,5,13.3,3.7,0.1,48.8,76
"Kenneth Walker III","RB","86","SEA","1",10,15,13.3,2.5,1.2,33.5,54.2
"Rashee Rice","WR","82","KC","1",6,16,13.3,2.9,0.4,38.9,58
"Taylor Heinicke","QB","69","ATL","1",5,5,13.2,4.1,0.2,54.2,81.9
"Austin Ekeler","RB","83","LAC","1",14,14,13.2,3.4,1.2,45,65.7
"Brian Robinson Jr.","RB","81","WAS","1",14,15,13.2,2.5,1.1,33.1,50.3
"DeAndre Hopkins","WR","90","TEN","1",5,17,13.2,3.4,0.3,44.6,72.2
"Carson Wentz","QB","67","LAR","2",6,2,13.1,2.7,0.7,35,52.2
"Tony Pollard","RB","87","DAL","1",5,17,13.1,3.8,1.4,49.2,70.6
"Jordan Addison","WR","83","MIN","1",6,17,13,4.2,0.3,54.2,82.2
"Zay Flowers","WR","83","BAL","1",14,16,12.9,4.4,0.4,56.6,84.7
"George Kittle","TE","98","SF","1",9,16,12.7,4.4,0.3,55.9,89.1
"David Njoku","TE","89","CLE","1",10,16,12.6,4.8,0.4,60.6,81.7
"Kendrick Bourne","WR","79","NE","1",14,8,12.5,3.7,0.4,46.4,73
"Christian Kirk","WR","86","JAX","1",12,12,12.5,3.9,0.4,48.8,70.7
"D'Andre Swift","RB","86","PHI","1",7,16,12.5,3.2,1.3,39.4,58.2
"Garrett Wilson","WR","84","NYJ","1",12,17,12.5,4.7,0.5,59.3,91.6
"Jerome Ford","RB","76","CLE","1",10,17,12.4,3,1.2,37,50.7
"Aaron Jones","RB","88","GB","1",6,11,12.3,2.6,1.3,32.2,49.1
"Gardner Minshew","QB","73","IND","1",10,16,12.3,5,0.2,60.8,89.7
"George Pickens","WR","84","PIT","1",9,17,12.3,4.4,0.3,54.6,86.7
"Terry McLaurin","WR","88","WAS","1",14,17,12.3,4.5,0.4,55.4,85
"Chris Godwin","WR","84","TB","1",11,17,12.3,4.3,0.4,52.5,80.9
